step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.287235292677e+00
2,0.1,9.125958287271e+00
3,0.15,2.045212702695e+01
4,0.2,3.617445413712e+01
5,0.25,5.616321777343e+01
6,0.3,8.021187690496e+01
7,0.35,1.080304430625e+02
8,0.4,1.392939530943e+02
9,0.45,1.737028099748e+02
10,0.5,2.109746787437e+02
11,0.55,2.506398547875e+02
12,0.6,2.918037585282e+02
13,0.65,3.332235579387e+02
14,0.7,3.737626974116e+02
15,0.75,4.127208510492e+02
16,0.8,4.494818121478e+02
17,0.85,4.828323632899e+02
18,0.9,5.118523826734e+02
19,0.95,5.370567311739e+02
20,1.,5.595737403573e+02
