step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,3.604512244237e-10,-2.710529578565e-09,-1.735162789285e+02
2,0.1,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-6.907221461461e-10,-3.783396707036e-09,-3.430929238626e+02
3,0.15,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,3.791100766648e-10,-4.675162479373e-09,-5.081887929051e+02
4,0.2,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-2.031807611047e-09,-8.861488431933e-09,-6.683162255338e+02
5,0.25,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-2.271189458725e-09,-1.085937384460e-08,-8.230168656621e+02
6,0.3,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,1.796692572498e-09,-1.276321981436e-08,-9.718075254547e+02
7,0.35,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-4.689582056017e-13,-5.631051180899e-13,-1.114240948997e+03
8,0.4,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-9.947598300641e-14,-5.169198402655e-13,-1.250009703106e+03
9,0.45,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,4.121147867409e-13,-7.780442956573e-13,-1.378955540083e+03
10,0.5,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,4.078515303263e-12,6.714628852933e-13,-1.500917047574e+03
11,0.55,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,3.637978807092e-12,-6.377121053447e-13,-1.615418081369e+03
12,0.6,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-9.322320693173e-12,-2.025046796916e-11,-1.721632145932e+03
13,0.65,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,4.831690603169e-13,-2.319922032257e-12,-1.818837038250e+03
14,0.7,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,2.302158463863e-12,5.268674385661e-12,-1.906901610511e+03
15,0.75,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-4.320099833421e-12,-3.304023721284e-13,-1.986191146962e+03
16,0.8,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,5.456968210638e-12,1.787014980437e-12,-2.057037883720e+03
17,0.85,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.104609737013e-10,3.257127900724e-11,-2.119438385596e+03
18,0.9,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,9.605258810552e-10,9.707505910228e-10,-2.174152056172e+03
19,0.95,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-8.142819751811e-11,-1.380193737077e-10,-2.223041979707e+03
20,1.,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,1.815436689867e-10,-2.987761149598e-10,-2.267948809637e+03
