step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,7.771561172376e-15,-7.327471962526e-15,-1.707168308582e+02
2,0.1,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,2.176037128265e-14,-2.664535259100e-14,-3.444506136663e+02
3,0.15,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,2.575717417130e-14,-2.664535259100e-14,-5.209216933739e+02
4,0.2,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,2.131628207280e-14,-4.973799150321e-14,-6.999804980516e+02
5,0.25,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,7.638334409421e-14,-4.085620730621e-14,-8.816281883221e+02
6,0.3,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,2.309263891220e-14,-6.394884621841e-14,-1.065989698951e+03
7,0.35,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,9.059419880941e-14,-7.283063041541e-14,-1.253252612480e+03
8,0.4,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,1.669775429036e-13,-9.237055564881e-14,-1.443589934442e+03
9,0.45,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,3.197442310920e-14,-6.750155989721e-14,-1.637062991494e+03
10,0.5,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,-3.907985046681e-14,-4.263256414561e-14,-1.833511527148e+03
11,0.55,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,7.460698725481e-14,-1.527666881884e-13,-2.032500327129e+03
12,0.6,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,1.669775429036e-13,-1.136868377216e-13,-2.233417007142e+03
13,0.65,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,1.776356839400e-14,5.329070518201e-14,-2.435667857899e+03
14,0.7,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,2.984279490192e-13,-2.842170943040e-13,-2.638802884210e+03
15,0.75,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,1.733724275255e-12,-9.947598300641e-13,-2.842524976693e+03
16,0.8,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,2.234585849692e-10,-1.054232257047e-10,-3.046649310433e+03
17,0.85,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,-2.246309804832e-10,1.058637622009e-10,-3.251062760213e+03
18,0.9,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,-4.044188983698e-09,1.904851387735e-09,-3.455695975237e+03
19,0.95,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,-2.698982370930e-09,1.272859151413e-09,-3.660506233360e+03
20,1.,top,2.775557561563e-17,5.551115123126e-17,-5.000000000000e-01,-6.376559724686e-09,3.009574811585e-09,-3.865467191437e+03
