step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-3.329869713298e-11,-2.010702715438e-11,-1.737807448416e+02
2,0.1,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-7.269740365246e-11,-1.769259153495e-05,-3.381941346555e+02
3,0.15,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,3.361727962670e-08,1.522327233642e-02,-4.924617690385e+02
4,0.2,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-1.922247153274e-05,2.660002062427e-02,-6.400784336199e+02
5,0.25,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-1.092636862943e-04,4.315266547120e-02,-7.790040261982e+02
6,0.3,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-1.867015202066e-04,6.579569720461e-02,-9.076197827287e+02
7,0.35,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-3.434584003870e-04,8.510333337892e-02,-1.029065740331e+03
8,0.4,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-5.767515441377e-04,1.008698472090e-01,-1.140189824139e+03
9,0.45,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,-5.268085337562e-04,1.197534704938e-01,-1.241947483137e+03
10,0.5,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,6.948395078936e-04,1.374498072558e-01,-1.336888001328e+03
11,0.55,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,5.649173458337e-04,1.509863887297e-01,-1.423580823357e+03
12,0.6,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,2.489338610374e-04,1.672071545206e-01,-1.500996950678e+03
13,0.65,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,5.889544411275e-04,1.750415616450e-01,-1.572300331428e+03
14,0.7,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,2.725619752937e-04,1.847881382659e-01,-1.637825423238e+03
15,0.75,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,4.037671798329e-04,1.910202562609e-01,-1.697689355893e+03
16,0.8,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,1.642634085805e-03,1.973061521216e-01,-1.750205161051e+03
17,0.85,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,1.262914989667e-03,2.078181772735e-01,-1.798011187887e+03
18,0.9,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,1.153622794696e-03,2.083684478254e-01,-1.842486955169e+03
19,0.95,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,1.137328404369e-03,2.181972214127e-01,-1.884167422156e+03
20,1.,bottom,2.775557561563e-17,-6.938893903907e-18,5.000000000000e-01,1.477308046049e-03,2.212751685008e-01,-1.922656104428e+03
