step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,3.656763780668e-11,2.171107738036e-11,-1.818782076095e+02
2,0.1,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,8.039791055126e-11,4.942550502207e-07,-3.760120229413e+02
3,0.15,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-5.853042495119e-10,2.614880117783e-03,-5.881737320722e+02
4,0.2,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,8.003135961943e-06,1.491645546519e-03,-7.763068041296e+02
5,0.25,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,2.193581352827e-05,-1.706514976743e-03,-9.744447093504e+02
6,0.3,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,1.254885298252e-05,1.800689209990e-03,-1.229076152262e+03
7,0.35,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-1.593222425811e-05,-2.491090280991e-03,-1.423340060764e+03
8,0.4,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,1.190263628139e-04,-1.484688930475e-02,-1.541643513368e+03
9,0.45,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-4.868275012058e-04,3.863702330195e+00,-3.644941367508e+03
10,0.5,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,8.418503181132e-02,3.567809271404e+00,-5.355400484016e+03
11,0.55,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-8.081010439632e+01,-1.555108311717e+01,-3.849760202487e+03
12,0.6,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,6.773818303560e+00,-1.151498401044e+00,-5.454903086363e+03
13,0.65,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-4.738480533892e+01,-1.876739349708e+03,3.670739649753e+04
14,0.7,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-2.520685333786e+02,5.367394620218e+03,-3.030962466633e+03
15,0.75,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,2.691998368780e+03,3.881922186988e+03,-3.529157220752e+04
16,0.8,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,2.534502542240e+02,2.120449675634e+03,-6.281288002901e+02
17,0.85,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,8.221626141087e+03,4.501057499256e+02,4.543440123236e+04
18,0.9,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-7.760040274016e+00,-3.086399640634e+02,-1.843167923595e+04
19,0.95,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,1.004940162007e+03,5.588984068731e+02,-2.495621155516e+04
20,1.,top,0.000000000000e+00,7.632783294298e-17,-5.000000000000e-01,-2.212230529514e+03,1.766700987313e+03,-3.488689517286e+04
