step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,-4.635139494447e-12,-4.288125410312e-11,-2.057520061100e+02
2,0.1,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,2.001762644532e-11,-1.395701332285e-10,-3.987132161180e+02
3,0.15,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,4.603811776249e-11,-8.435563358944e-11,-5.795367859793e+02
4,0.2,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,4.534947417589e-11,-8.506262361152e-11,-7.527670500632e+02
5,0.25,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,9.200537554044e-11,-1.009965444609e-10,-9.154229957899e+02
6,0.3,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,6.422912202098e-11,-1.317417286373e-10,-1.065664854800e+03
7,0.35,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,6.499401017379e-11,-1.313935626968e-10,-1.209393975931e+03
8,0.4,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,5.612305065128e-11,-1.331628141088e-10,-1.341035825781e+03
9,0.45,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,5.548983494919e-11,-1.318838371844e-10,-1.460252290263e+03
10,0.5,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,5.575490069631e-11,-1.318909426118e-10,-1.571452927688e+03
11,0.55,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,6.075678848916e-11,-1.324735876551e-10,-1.672260346814e+03
12,0.6,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,5.762423871403e-11,-1.086135625883e-10,-1.762210081131e+03
13,0.65,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,5.691969118260e-11,-1.081090772459e-10,-1.844539485398e+03
14,0.7,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,2.247935171340e-11,-1.183408926408e-10,-1.919373824239e+03
15,0.75,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,2.263172982353e-11,-1.179927267003e-10,-1.988198333910e+03
16,0.8,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,2.208050409180e-11,-1.165645358014e-10,-2.050117015006e+03
17,0.85,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,3.156142014404e-12,-1.204014665745e-10,-2.104954900230e+03
18,0.9,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,9.059475392093e-12,-1.210480604641e-10,-2.155734215621e+03
19,0.95,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,-3.745004306666e-12,-1.081019718185e-10,-2.204233901134e+03
20,1.,bottom,8.105495441502e-16,-8.743006318923e-16,5.000000000000e-01,-3.097411216402e-12,-1.061195575858e-10,-2.249524698743e+03
