step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.138269982244e+00
2,0.1,8.354960186695e+00
3,0.15,1.863183184561e+01
4,0.2,3.278711422218e+01
5,0.25,5.055371367320e+01
6,0.3,7.122293338252e+01
7,0.35,9.441718515485e+01
8,0.4,1.196678082721e+02
9,0.45,1.466036583102e+02
10,0.5,1.758255150143e+02
11,0.55,2.056267042001e+02
12,0.6,2.371050906881e+02
13,0.65,2.619719975334e+02
14,0.7,2.874740839464e+02
15,0.75,3.120842950753e+02
16,0.8,3.359219456535e+02
17,0.85,3.593425736883e+02
18,0.9,3.825845525663e+02
19,0.95,4.050801799897e+02
20,1.,4.259644032278e+02
