step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,3.606878684614e-12,-1.264055526917e-11,-2.135040676218e+02
2,0.1,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,1.984695741086e-11,-1.316990960731e-11,-4.692265484601e+02
3,0.15,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,5.086486787320e-12,-1.579181230227e-11,-7.981931281873e+02
4,0.2,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,3.874134346660e-11,-8.363087999896e-12,-1.249763422495e+03
5,0.25,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,5.144844272831e-11,-1.342925770587e-11,-1.777201335929e+03
6,0.3,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,5.325742624684e-11,-8.277822871605e-12,-2.781601445079e+03
7,0.35,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,3.061476072652e-11,1.122657522501e-12,-4.236974428080e+03
8,0.4,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,7.076284003205e-12,1.776356839400e-11,-6.899795702095e+03
9,0.45,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,1.433592133893e-11,4.689582056017e-11,-1.259368772198e+04
10,0.5,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-1.344602207354e-11,8.162714948412e-11,-3.401911940516e+04
11,0.55,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-6.011437014841e-08,4.097455530427e-08,2.845335855938e+04
12,0.6,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-5.169049344111e-08,4.745515980176e-08,-9.217064394897e+04
13,0.65,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,4.728729900982e-07,-8.360439096577e-08,9.078184659637e+04
14,0.7,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-2.590005898639e-08,1.289816964345e-08,1.216645532205e+04
15,0.75,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-6.454541123802e-09,3.466084308457e-09,-1.621022288560e+04
16,0.8,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,3.592862265478e-07,1.646021701163e-07,2.273394586966e+05
17,0.85,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-6.595095580764e-09,5.916945156059e-08,1.439351917008e+04
18,0.9,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,-1.029786285800e-06,1.042099029291e-08,2.043063813825e+03
19,0.95,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,5.233916966496e-08,3.921832103515e-08,-4.488040197663e+04
20,1.,top,2.775557561563e-17,4.024558464266e-16,-5.000000000000e-01,8.802745351288e-05,7.226108527902e-05,-2.531122545652e+05
